Tweet_content,Sentiment Score
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt hannaliubakova belarus doctors report that 10 ambulances left the spot in minsk after the explosions we don't know the exact number…,0
2020 का सबसे बड़ा स्कैम यहां हो रहा है 🧐,0
hospital central de maracaibo en colapso no hay quirófanos,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
on 24 oct 2020 — isa amino was shot multiple times in the head and killed by oromia special police force in bekoji,-1
rt theplacardguy tweet for help dated 20th october but sonu sir antaryami hain,0
"ayuso ""el hospital de valdebebas se va a nutrir de sanitarios de otros hospitales"" 🤦🏼‍♂️",0
rt gvillasis el 2014,0
hospital ************,0
may his family have the fortitude to bear the loss of their son and brother,0
may justice come to all in its full d… https//tco/jvblayuixg,0
federal disaster team sent,-1
rt mayubeku soliders told victims' relatives sanwo-olu sent them,0
soldiers carried away 8 corpses of protesters killed at d scene,-1
dump c…,-1
rt erbmjha what's this why 25/09 instead of 25/10 ,0
1 month pichhe chal rhe ho kya sir sonusood  https//tco/8jzebfwoca,0
beyond disgusting,-1
rt jcarolinaisava pulsoregional bolivar 25oct cerca de la e/s caura en alta vista abandoraron a un bebé recién nacido aún con restos d…,0
rt christineeasda1 mbe not enough for £10m a year marcusrashford  now he's after a knighthood he's trying  to look saintly by making s…,2
rt danieliyam spinal tuberculosis outbreak about to happen in calabar 💔🤦‍♂️,-1
looters stole from the infectious diseases hospital idh…,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt wmpolice missing | this is an urgent appeal to trace craig evans have you seen him ,0
the 35-year-old left hospital in birmingham t…,0
rt ktsmtv breaking city residents urged to stay home for two weeks as hospital numbers soar to near 800 ,-1
https//tco/qok0gvdmzl,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt bastarachenicki ddale8 that makes as much sense as a woman showing up at the hospital with back pain,-1
rt eugenegu when i spoke out about racism at vanderbilt hospital,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt vgescobar el paso,0
rt _lauryncalo22 all my people in the valley/la,0
vsbrar_ sanjayv_inc troll_ziddi dukh bhi aisa ki  roti kapda or makaan to rahne dijye logo ke paas antim sanskaa… https//tco/onc9kece7j,0
rt jon_statistics on 23rd october up to 517 people recovered from the corona virus and were released from hospital in england,-1
yes up to…,0
esa es 💪,0
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt erbmjha what's this why 25/09 instead of 25/10 ,0
1 month pichhe chal rhe ho kya sir sonusood  https//tco/8jzebfwoca,0
rt bomberossv hicimos maniobras para poder liberar la pierna y rescatar a la joven del tragante de san miguel,0
rt phemmytula morenikemustsurvive,0
morenike on 19th oct,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt frasernelson at the peak of covid hospital cases,0
rt shahcastic sonusood please check the dates before posting,0
we are living in october😂 https//tco/wjqcr223xl,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt josep_huguet ànims josep lluís carodrovirajll,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
this must be a luxury suite most hospital wards don't have such large televisions,1
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
ash's attempt to bop misty on the nose are stopped by nurse joy who reminds them they're in a goddamn hospital,1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
riverplate people of the world i'm asking for your help my son artem has a heart defect,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt susanhenshaw50 today a family member of  who works in a govt hospital in the mainland  told me that's a big lie,0
rt carasa_gadsden - tu hospital está saturado y no te atienden,0
- te impiden…,0
rt abc7breaking breaking update federal government sending aid due to virus surge as el paso convention center to be converted into mak…,-2
la familia no tiene culpa de lo que haga ésta insensata,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt frasernelson at the peak of covid hospital cases,0
rt _lauryncalo22 all my people in the valley/la,0
rt georgiendirangu “most people who die of the disease will do so within 14-19 days people who recover are released from hospital af…,0
rt mmaher70 2 500 children were sent to hospital this year with malnutrition ,0
2 500 ,0
foodbank use through the roof because of 37 billion…,0
chitraganguli87 davidcooperfie4 alpha_variable agra mental hospital both bfgf,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
they came in two hilux vans with at least eight bodies some were still alive when they returned they dumped them… https//tco/u1wkyjet1r,-1
rt sin24horas ¡urgente se solicita medicamento para niño de un año de edad ingresado en el hospital metropolitano de santiago homs,0
p…,0
we’re rounding the corner into a brick wall,0
vote,0
coming soon to southdakota,0
https//tco/kepwhio7a7,0
covidkristi,0
rt frasernelson at the peak of covid hospital cases,0
and trump said his covid numbers are incredible c’mon man,2
rt wmpolice missing | this is an urgent appeal to trace craig evans have you seen him ,0
the 35-year-old left hospital in birmingham t…,0
no estás seguro ni adentro,0
rt houstonchron federal disaster team sent,-1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt ester0961 tots els que us avorriu i teniu tanta necesitat d’ oci nocturn,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
send them postive and spooky halloween cards🎃🎃🎃,-1
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt _lauryncalo22 all my people in the valley/la,0
rt quinnmommam kmh_music kurteichenwald my husband died of lung cancer it was the size of a fist and they took one lung out he died 1…,-4
tem oq fazer kkk se ta trancado n tem como fugir,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt andrear9md all those sciencey people being mean to the president,0
rt erbmjha what's this why 25/09 instead of 25/10 ,0
1 month pichhe chal rhe ho kya sir sonusood  https//tco/8jzebfwoca,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
ta eu e minha irmã passando mal,0
engine 28 tower ladder 10 hospital masterbox activation 170 morton street,0
barbiechic41 stillgray 🇺🇸covid,0
⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️,0
gente assunto sério ,0
**quem teve contato comigo nos últimos 15 dias,0
rt macarenandrealb aviso de utilidad publica,0
el servel publicó mal la dirección del colegio san constantino el la reina,0
rt whitehouse this fall,-1
now that i left the hospital,0
tragic i hope the killer is caught and made to pay for this,-2
rt ben_johns mps shouldn’t get expenses,0
not me peeing in the er parking lot because they don't allow people into the hospital 😌,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
don't stop reporting this we want to know what is going on everywhere trump waves the white flag,1
rt milligazette this is the lovejihad which gives sleepless nights to the enemies of india we will keep promoting communal harmony you…,0
rt tedtatos today's numbers just came out for utah 1,0
rt ester0961 tots els que us avorriu i teniu tanta necesitat d’ oci nocturn,0
rt jujuubangzz just got kicked out of the hospital for telling the covid patients to stay positive,1
rt sonusood that’s the best part brotheri find a needy amp they somehow find me it’s about,0
“intentions”,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt imtiaz_jaleel this clip of dr altaf from ikon hospital in aurangabad is just too touching hats off to all the doctors working tirele…,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
rt frasernelson at the peak of covid hospital cases,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt _lauryncalo22 all my people in the valley/la,0
rt _lauryncalo22 all my people in the valley/la,0
rt sdgmasterglass israeli security persoririel prevent ,0
hunger-striking palestinian prisoner,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rosavillacastin cristina_pardo tú lo haces desde la uci de un hospital,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt vgarridos para muestra un boton,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt latimes monica ramirez drove herself to the er on a july afternoon she was 30 weeks pregnant and she could not breathe,0
she woke fro…,0
"rt gottalaff ""rounding the corner""",0
rt toryfibs 1,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
rt colinchampmd ignoring the elephant in the room ,0
"there are 10 administrators for every doctor in our hospital systems ""this equates t…",0
rt hannaliubakova belarus doctors report that 10 ambulances left the spot in minsk after the explosions we don't know the exact number…,0
justamente el día que voy a estar todo el perro día en el hospital 😡😡😡😡,0
he’s thinking of his injuries because nothing could possibly hurt more than rey marrying someone else 🤩🤩,-1
this has to stop a hospital can’t act like this anywhere,1
https//tco/sdztlmlbxd… https//tco/mvdbuxvvg4,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt asabereroland sometimes i feel like i should go to the hospital and amputate my arms cos the fufu pounding be too much 😪,0
en vez de decir gilipolleces,0
rt _lauryncalo22 all my people in the valley/la,0
rt wesliegriffin gage ford’s bail was set at 5% the amount recommended after he posted the incredibly low bail he went on to brutally as…,1
rt kevinla04924670 😞 https//tco/8rfkdikjlj,0
rt mariambarghouti this morning a palestinian family woke up with the news that their 18 year old son,0
rt ckpainters69 a must read from martin feeley  if you know anyone who is still concerned please retweet ,-1
“unfortunately,0
rt adeyanjudeji is dj switch still lying thunder fire all of you endsars,-1
rt sonusood tomorrow your son will be admitted to srcc hospital mumbai surgery will be scheduled this week ❣️🙏,0
si mueres en el mismo hospital en el que nacistes tu desplazamiento total seria 0,0
rt autoctonagotic mucho toque de queda pero los desahucios no cesan desdelamoncloa pabloiglesias sanchezcastejon tenéis la cara de cem…,0
rt neesharees honestly i've lost count of the times the british public have had to step up when the government have failed us,-2
• creatin…,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt _lauryncalo22 all my people in the valley/la,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
choriver avasalvaje19 sb19official r will visit a sa hospital  u think ano ssbhn ni r  ,0
sb19xatin… https//tco/eoodaajodz,0
akilahobviously and there’s this https//tco/nurtuzkjqq,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
trump lied amp  said we had “turned the corner infections are at all-time high in texas,-1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
médico pediu pra eu evitar leite e derivados ai deu 10 minutos que eu saí do hospital tava tomando sorvete,0
rt esthernevado os tengo que decir algo ,0
en mi casa somos positivos,0
rt phemmytula morenikemustsurvive,0
morenike on 19th oct,0
rt asabereroland sometimes i feel like i should go to the hospital and amputate my arms cos the fufu pounding be too much 😪,0
rt jed_mercurio for an understanding of respiratory droplet transmission,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
rt anufuche while we mourn,-1
rt adexmee i want to move on from the protests and the unrest but this is someone’s brother 😫😭 ,-2
endsars,0
rt jimlnlips this is my granpa,0
rt mide_yy you mean the twitter bird is naira marley🤔,0
🙏,0
rt _lauryncalo22 all my people in the valley/la,0
rt rishibagree new twitter a/c,0
only 2-3 followers,0
one tweet,0
never tagged sonu sood,0
no location mentioned,0
no contact details,0
no email addr…,0
and votebidenharristosaveamerica,0
ok ela foi pra o hospital pq n aguentou a dor,0
erilawgroup has vast experience in federal civil litigation in tort cases including car/trucks serious accidents,0
rt rmnvhill //tw attempted murder,-1
,0
,0
,0
,0
the police gave the fascist fighting squad permission to ‘take care of the protestors’ and so t…,-1
15- en 2018,0
