Tweet_content,Sentiment Score
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt _lauryncalo22 all my people in the valley/la,0
mike_pence realdonaldtrump and you could have covid too 5 ppl around your staff tested positive jesus wh might a… https//tco/ae9ilv1zkt,1
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt wilfredchan shouldn't have to keep saying this mask up they protect others from you,1
rt jaefans_global jaejoong was spotted at the funeral hall of seoul samsung hospital on 10/25,0
https//tco/pqo1bp3an4,0
kim jaejoong wh…,0
rt dynamit_twt hey army,0
rt campbellcourier blanchfield army community hospital’s perinatal bereavement nurses and chaplain hosted footprints on the heart,-1
record low and we are in lockdown what an absolute shambles,-1
rt tigressellie over a thousand people a day admitted to hospital with covid19 the last week or so this will build as it takes time eve…,0
we simply do not have the hospital capacity to sustain this,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
"rt thevyraltrendz —victim of lekki toll gate shooting been treated ""for free"" for 4 days",-1
and he tell the truth when she in the hospital 😭😭,0
rt bmj_latest the world is waiting on a vaccine for covid-19 yet none of the current phase iii trials are designed to detect a reduction…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt _lauryncalo22 all my people in the valley/la,0
rt basford_h mike_pence realdonaldtrump the university of washington’s institute for health metrics and evaluation released this week a…,0
rt gthomsonink imagine if we had no speed limits on highways except “common sense + “personal responsibility” and the government said we…,-1
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
megamaneee rock lee was a problem he made gaara want to kill him inna hospital 😭,-2
rt _lauryncalo22 all my people in the valley/la,0
rt jeremyswallace new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizati…,-1
"angelrizoel ""yes",0
she says,0
rt _lauryncalo22 all my people in the valley/la,0
rt runforvaughan respected doug ford premier of province of ontario with his message at 17th annual virtual run for vaughan,1
thank you…,1
foodandfifa99 if he's hurt that bad i'd send him to the hospital for a full check over,-2
lnp hits miles with low-flying attack is this news  get your paper in order and do news not crap  again more shi… https//tco/owhr4ua2va,-2
rt drericding new—texas’s epidemic so bad now,-2
don't say you didn't know,0
rt andrear9md all those sciencey people being mean to the president,0
"rt berniesanders last night trump attacked medicare for all as ""socialized medicine"" funny i didn't hear him complain when he received…",-1
rt _lauryncalo22 all my people in the valley/la,0
dovidteitelbaum themishpacha realdonaldtrump tzedek_assoc satmarhq maggienyt scavino45 satmarnation… https//tco/waq5bmwogv,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt karenenglish06 breaking covid-19 outbreak at ulster hospital the south eastern hsc trust says “ a small number of staff and patients…,-1
justjolson1more itsjefftiedrich please be careful and stay safe i work in a hospital,2
rt _lauryncalo22 all my people in the valley/la,0
rt file411 here realdonaldtrump makes a disgusting and vile claim with absolutely zero facts to support,-1
“doctors get more money and hos…,0
rt somtosocial i lay on my hospital bed for two days this week,0
rt riotwomennn thank you  finally  the american medical association tweets a message to americans ,1
physicians are not inflating the c…,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt markf0879 retweet the shit out of this endlockdown nolockdown factcheck thejournal_ie go on i dare you's,-1
drdayasharma neelajan deanrosario to expand on the airplane analogy planes exchange air amp purify it to a much h… https//tco/vpzsfbysjr,1
rt stnicholas_ng st nicholas hospital facilities also,0
rt betoorourke just got off the phone w a woman whose dad amp mom have covid and are at providence hospital in el paso her dad is a korea…,1
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
rt lotusoak2 two uk girls left paralyzed after hpv jabs authorities still claim it's coincidence,-1
https//tco/b4knzonl3c https//tco…,0
rt gacpars please please please donate and share,0
rt martinbartlett this is among the scariest,-1
it didn’t have to be like this,1
it shouldn’t be this wa…,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
michelle amp taker in the hospital after his surgery got me cracking up lol she knows what’s coming,0
rt wckitchen big turnout again in astoria,0
rt positivenai i started this business during covid and when my dad ended up in the hospital the night of father’s day my family has gon…,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt aghamilton29 we knew this was coming delayed medical treatments and a reduction in preventative visits will lead to deaths there is…,0
rt realvictor__ kidon hospital bed will you visit me when i'm discharged,0
nurse no,0
rt chloebooker wowie,0
that it escaped box hill ho…,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt runforvaughan respected doug ford premier of province of ontario with his message at 17th annual virtual run for vaughan,1
thank you…,1
dipdeity hugh_henne vinny_strokes pj_matlock wow pj_matlock story resonates 2018 i spent 2 months in hospita… https//tco/iehitgnlaf,1
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt _lauryncalo22 all my people in the valley/la,0
shooting at victoria park ave amp danforth ave lcbo parking lot victim rushed to hospital in critical condition… https//tco/rsq3xzqqih,-1
rt ben_johns mps shouldn’t get expenses,0
rt _lauryncalo22 all my people in the valley/la,0
rt usmcliberal i wonder if the prolife maga crowd will start happily wearing facemasks — now that there’s evidence covid19 endangers…,2
rt torontostar cancer surgeons in ontario are reporting a sharp rise in the number of people coming to hospital with advanced cancers it…,1
taylorgarms ashishkjha swatlashoover it’s not the doctors doing the billing it’s the hospital administrators th… https//tco/hgpupq2em6,0
god will not let me see any condition that will make me get admitted to hospital😔😔🙏,0
rt manuelfherrador ¿a qué os suena ayuso traducida al inglés,0
it's a great hospital it's gonna be the greatest hospital with more tha…,2
rt bnodesk australia's hardest-hit state,0
- new cases 0,0
- pos…,0
rt salemjakes 'new federal disaster teams are now also heading for el paso this week to deal with the surge in covid-19 hospitalizations…,-1
rt jonesthebosher winter is always tough for the nhs but this year will be even tougher if increasing numbers of patients with covid need…,2
rt _lauryncalo22 all my people in the valley/la,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt raoult_didier we are shocked by the monstrous death rate in the soc group of the recovery trial,-2
41% in ventilated patients,0
25% in th…,0
rt bnodesk australia's hardest-hit state,0
- new cases 0,0
- pos…,0
thedigitaldash_ you like hospital food,1
despite a variety of suggestions by ethicists,1
rt avogroovy “the soldiers,0
rt temiokomi at this point in time,0
rt _lauryncalo22 all my people in the valley/la,0
dfisman check out the per capita numbers for mb vs ab we're neck and neck it's awful test positivity provincial… https//tco/qrrxtf0q5n,-1
rt wilfredchan shouldn't have to keep saying this mask up they protect others from you,1
ordinarily this notification doesn’t bother me as we don’t leave the house however as we were in dublin at the hosp… https//tco/vfkcoi3ykf,-1
rt _lauryncalo22 all my people in the valley/la,0
wait,0
rt ktsmcelina ‼️breaking the el paso convention center to be turned into a auxiliary hospital during the ongoing covid-19 crisis ,-1
acco…,0
markdice seen that in hospital stats for awhile just like it’s funny how cases are riding so high just before the election,0
rt rosaltmann excellent and important campaign women should not be frightened away from attending important maternity appointments,3
in 1729 when jonathan swift suggested the irish eat their children lest they be a burden to society it was clearly… https//tco/krexw4gruz,0
rt temiokomi if this story is true,0
my friends mum just died in the car cuz the hospital rejected her💔,-2
nothing works here,1
who is he,0
rt repbarbaralee what we could pay for over the next year if we cut the military budget by 10% ,0
✅ 684,0
✅ 820,0
rt _lauryncalo22 all my people in the valley/la,0
t9ler come cuddle in the hospital bed w me https//tco/bfa5n1pcck,0
rt abc7breaking breaking update federal government sending aid due to virus surge as el paso convention center to be converted into mak…,-2
rt ruthhen05786097 douglas ross doesn't want you to know he was part of uk gov at height of the pandemic who presided over this👇,0
hospita…,0
rt humandefenders1 yet another systematic murder in turkish prisons,-1
photos of deputy commissioner mustafa kabakçıoğlu in his final mome…,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt farouq_yahaya why did the twitter bird go to the hospital,0
“he had to get tweetment“,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
k1moiko eri i had to go to the hospital,0
i just raised $5000 usd for my local children’s hospital through  extralife donate today amp help me reach my goal https//tco/7iacpk0jvz,0
rt nolafleurdelit i keep saying people who have had covid go about their lives like they can't get it again nowhere is that proven we h…,2
rt blooddonorsin srinagar,0
need blood type   o-negative,0
at  gb pant hospital ,0
blood component  blood,0
number of units  3,0
primary num…,0
rt dynamit_twt hey army,0
rt chidiodinkalu folorunsho olabisi was listed missing following the lekkimassacre ,0
his body was found by his relatives at the mortuar…,0
rt _lauryncalo22 all my people in the valley/la,0
rt fbcooper1 swatlashoover govtzombie nice story red states are bleeding  here texas sends hospital workers those who can be spared…,0
rt bnodesk france reports 52,0
- new cases 52,0
- positivity r…,0
i’m waiting for an appt at a public hospital in melb there are so many ways for the virus to restart it all comes… https//tco/anebjbnq9z,-1
hospital is so peaceful it going home is the best park get me out of here 😂,2
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
rt _lauryncalo22 all my people in the valley/la,0
rt rachelbaxendale “if we don’t throw everything at healthcare and aged-care outbreaks amp protect our health workers optimally,1
rt ben_johns mps shouldn’t get expenses,0
i just raised $2500 usd for my local children’s hospital through  extralife donate today amp help me reach my goal https//tco/zxbeknwega,0
rt alexberenson lockdowns kill unnecessary media-driven panic kills,-4
rt bnodesk australia's hardest-hit state,0
- new cases 0,0
- pos…,0
rt patriotmarie danscavino billstepien presssec potus realdonaldtrump laraleatrump erictrump play dr fauci,0
rt cnni there were two thoughts pushing kolt codner forward in his first marathon race his 4-year-old son andrew's fight against cancer…,0
saxlikesaxophon baileysarian the only time i used to wear makeup was when i was working in the hospital so i woul… https//tco/tkx9358jzh,0
leovaradkar yeah because you cancelled almost all outpatient appointments,0
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt farouq_yahaya why did the twitter bird go to the hospital,0
“he had to get tweetment“,0
rt gthomsonink imagine if we had no speed limits on highways except “common sense + “personal responsibility” and the government said we…,-1
"rt ddale8 as the president says things are going ""beautifully"" and that we're just catching mild cases because we're doing so much testin…",0
rt immoralishme my 90 year old granny was sick last week but got better and was sent home from the hospital she’s still sick and went ba…,-1
rt jamaicagleaner a motorist had to be cut from this car after crashing into a light pole along the west-bound lane of marcus garvey driv…,-1
rt crossriverwatch calabar remains of 117 year old psychiatric hospital after historic looting pictures,0
the medical director,0
rt milligazette this is the lovejihad which gives sleepless nights to the enemies of india we will keep promoting communal harmony you…,0
rt deeoneayekooto a protester who was treated free of charge in a hospital stole the phone of the nurse who treated her for 4 days on the…,0
body,0
kids who get a flu vaccine are much less likely to land in the hospital if they do catch the virus as flu season c… https//tco/q8beu1ty27,-1
kids who get a flu vaccine are much less likely to land in the hospital if they do catch the virus as flu season c… https//tco/wfcb6bacn2,-1
kids who get a flu vaccine are much less likely to land in the hospital if they do catch the virus as flu season c… https//tco/yfyswh7qup,-1
rt mattbc we simply do not have the hospital capacity to sustain this https//tco/polksahcmj,0
rt martinbartlett this is among the scariest,-1
it didn’t have to be like this,1
it shouldn’t be this wa…,0
rt temiokomi at this point in time,0
rt washingtonpost texas tries to shore up hospital capacity in el paso as coronavirus cases surge nationwide https//tco/jumwbstvvb,0
"rt berniesanders last night trump attacked medicare for all as ""socialized medicine"" funny i didn't hear him complain when he received…",-1
rt ctvcalgary calgary's covid-19 field hospital hasn't seen a single patient with the illness yyc https//tco/t58azxvvww,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
😢,0
dolly parton allegedly rushed to the hospital following a horrifying dizzy spell https//tco/a3vteihqlj,-2
rt leovaradkar hospital overcrowding is at a record low for this time of year and has been for months we have beds free in most hospital…,1
rt jaquetsmith6 i cannot comprehend that we are cancelling elective surgeries,0
rt _saveourstatues the 300 year old statue of sir robert clayton is grade 1 listed,0
rt killsibyl get help and work on your problems,0
"rt childrensla it's that time of the year send your cards and help kids like ethan feel some joy on halloween in his own words ""i cou…",2
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt sruhle there are some very large trump donors who sit on hospital boards,1
how do…,0
georgetakei what are the hospital and death rates,-1
rt avogroovy “the soldiers,0
rt bucksexton people are dying because of shut downs- in this case,-1
but sure,0
rt bnodesk france reports 52,0
- new cases 52,0
- positivity r…,0
rt _lauryncalo22 all my people in the valley/la,0
rt stnicholas_ng st nicholas hospital fully identify with the current situation and our sympathy is with the victims of the unfortunate…,0
